R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5,R6,G6,B6,R7,G7,B7,R8,G8,B8,R9,G9,B9
0.1,2.7531200423306224e-07,0.8999999983510771,0.11,0.010000275312004233,0.8999999983510771,0.08,2.7531200423306224e-07,0.44999999917553857,6.652224221313057e-07,0.01,0.00011105511838760855,6.652224221313057e-07,0.01,8.884409471008685e-05,6.652224221313057e-07,0.11,0.00011105511838760855,0.11000000000694397,2.7531200423306224e-07,0.7999999995877694,0.10000000000694398,2.7531200423306224e-07,0.8999999995877693,0.20000000000694398,2.7531200423306224e-07,0.8999999995877693
0.1,3.716322939723512e-07,0.8999999972813858,0.11,0.010000371632293973,0.8999999972813858,0.08,3.716322939723512e-07,0.4499999986406929,1.3395923244091647e-06,0.01,0.00014990225829960245,1.3395923244091647e-06,0.01,0.00011992180663968196,1.3395923244091647e-06,0.11,0.00014990225829960245,0.11000000001144868,3.716322939723512e-07,0.7999999993203465,0.10000000001144868,3.705190682229669e-07,0.8999999993203465,0.2000000000114487,3.716322939723512e-07,0.8999999993203465
0.1,5.01651052727049e-07,0.8999999955177629,0.11,0.010000501651052728,0.8999999955177629,0.08,5.01651052727049e-07,0.44999999775888144,2.69760309095263e-06,0.01,0.00020233509320996578,2.69760309095263e-06,0.01,0.00016186807456797264,2.69760309095263e-06,0.11,0.00020233509320996578,0.11000000001887568,5.01651052727049e-07,0.7999999988794407,0.10000000001887568,4.986501597599165e-07,0.8999999988794407,0.2000000000188757,5.01651052727049e-07,0.8999999988794407
0.1,6.77157959802282e-07,0.8999999926100404,0.11,0.010000677157959803,0.8999999926100404,0.08,6.77157959802282e-07,0.4499999963050202,5.432286958476109e-06,0.01,0.00027310232702602725,5.432286958476109e-06,0.01,0.0002184818616208218,5.432286958476109e-06,0.11,0.00027310232702602725,0.11000000003112072,6.77157959802282e-07,0.7999999981525101,0.10000000003112072,6.710908854954835e-07,0.8999999981525101,0.20000000003112073,6.77157959802282e-07,0.8999999981525101
0.1,9.140673955466294e-07,0.8999999878160164,0.11,0.010000914067395547,0.8999999878160164,0.08,9.140673955466294e-07,0.4499999939080082,1.093920726767979e-05,0.01,0.0003686104484874454,1.093920726767979e-05,0.01,0.00029488835878995634,1.093920726767979e-05,0.11,0.0003686104484874454,0.1100000000513094,9.140673955466294e-07,0.7999999969540041,0.1000000000513094,9.031641481305925e-07,0.8999999969540041,0.2000000000513094,9.140673955466294e-07,0.8999999969540041
0.1,1.2338614861720603e-06,0.8999999799120073,0.11,0.010001233861486172,0.8999999799120073,0.08,1.2338614861720603e-06,0.44999998995600365,2.202855289166678e-05,0.01,0.0004975007732312396,2.202855289166678e-05,0.01,0.0003980006185849917,2.202855289166678e-05,0.11,0.0004975007732312396,0.1100000000845949,1.2338614861720603e-06,0.7999999949780019,0.1000000000845949,1.2154917066537492e-06,0.8999999949780019,0.2000000000845949,1.2338614861720603e-06,0.8999999949780019
0.1,1.6655379955771082e-06,0.8999999668804997,0.11,0.010001665537995577,0.8999999668804997,0.08,1.6655379955771082e-06,0.44999998344024983,4.435881977823601e-05,0.01,0.0006714259504530279,4.435881977823601e-05,0.01,0.0005371407603624224,4.435881977823601e-05,0.11,0.0006714259504530279,0.1100000001394734,1.6655379955771082e-06,0.7999999917201249,0.10000000013947341,1.635826571171126e-06,0.8999999917201249,0.20000000013947342,1.6655379955771082e-06,0.8999999917201249
0.1,2.248239677064114e-06,0.8999999453951767,0.11,0.010002248239677065,0.8999999453951767,0.08,2.248239677064114e-06,0.44999997269758835,8.932267250365022e-05,0.01,0.000906093738077074,8.932267250365022e-05,0.01,0.0007248749904616592,8.932267250365022e-05,0.11,0.000906093738077074,0.11000000022995277,2.248239677064114e-06,0.7999999863487942,0.10000000022995277,2.20151904296383e-06,0.8999999863487942,0.2000000002299528,2.248239677064114e-06,0.8999999863487942
0.1,3.034803477321708e-06,0.8999999099718704,0.11,0.010003034803477322,0.8999999099718704,0.08,3.034803477321708e-06,0.4499999549859352,0.0001798534161866366,0.01,0.0012226679553860632,0.0001798534161866366,0.01,0.0009781343643088505,0.0001798534161866366,0.11,0.0012226679553860632,0.11000000037912802,3.034803477321708e-06,0.7999999774929676,0.10000000037912803,2.962835503754985e-06,0.8999999774929676,0.20000000037912802,3.034803477321708e-06,0.8999999774929676
0.1,4.096551370319898e-06,0.8999998515687185,0.11,0.01000409655137032,0.8999998515687185,0.08,4.096551370319898e-06,0.44999992578435927,0.0003620977785924283,0.01,0.0016496450482435248,0.0003620977785924283,0.01,0.00131971603859482,0.0003620977785924283,0.11,0.0016496450482435248,0.11000000062507644,4.096551370319898e-06,0.7999999628921797,0.10000000062507644,3.987424811267103e-06,0.8999999628921797,0.20000000062507645,4.096551370319898e-06,0.8999999628921797
0.1,5.529757141993246e-06,0.8999997552782185,0.11,0.010005529757141994,0.8999997552782185,0.08,5.529757141993246e-06,0.44999987763910926,0.0007288409555205164,0.01,0.002225360840971297,0.0007288409555205164,0.01,0.0017802886727770377,0.0007288409555205164,0.11,0.002225360840971297,0.1100000010305768,5.529757141993246e-06,0.7999999388195547,0.10000000103057681,5.3663290945152184e-06,0.8999999388195546,0.2000000010305768,5.529757141993246e-06,0.8999999388195546
0.1,7.464375336502445e-06,0.8999995965220735,0.11,0.010007464375336502,0.8999995965220735,0.08,7.464375336502445e-06,0.44999979826103675,0.0014663511539942443,0.01,0.00300132657667201,0.0014663511539942443,0.01,0.002401061261337608,0.0014663511539942443,0.11,0.00300132657667201,0.1100000016991339,7.464375336502445e-06,0.7999998991305184,0.10000000169913391,7.2220729056891e-06,0.8999998991305184,0.2000000016991339,7.464375336502445e-06,0.8999998991305184
0.1,1.0075823554601963e-05,0.8999993347775779,0.11,0.010010075823554601,0.8999993347775779,0.08,1.0075823554601963e-05,0.44999966738878894,0.0029473919195487914,0.01,0.0040466458448470645,0.0029473919195487914,0.01,0.0032373166758776517,0.0029473919195487914,0.11,0.0040466458448470645,0.1100000028013982,1.0075823554601963e-05,0.7999998336943945,0.1000000028013982,9.719549238421118e-06,0.8999998336943945,0.2000000028013982,1.0075823554601963e-05,0.8999998336943945
0.1,1.360088589687762e-05,0.8999989032342345,0.11,0.010013600885896878,0.8999989032342345,0.08,1.360088589687762e-05,0.44999945161711724,0.005913233075425582,0.01,0.005453821342425704,0.005913233075425582,0.01,0.004363057073940564,0.005913233075425582,0.11,0.005453821342425704,0.11000000461872479,1.360088589687762e-05,0.7999997258085587,0.1000000046187248,1.308066921731997e-05,0.8999997258085587,0.2000000046187248,1.360088589687762e-05,0.8999997258085587
0.1,1.8359178551929266e-05,0.8999981917405617,0.11,0.01001835917855193,0.8999981917405617,0.08,1.8359178551929266e-05,0.44999909587028086,0.011819225354618455,0.01,0.007346314037843907,0.011819225354618455,0.01,0.0058770512302751265,0.011819225354618455,0.11,0.007346314037843907,0.11000000761498975,1.8359178551929266e-05,0.7999995479351405,0.10000000761498976,1.76040762797328e-05,0.8999995479351405,0.20000000761498976,1.8359178551929266e-05,0.8999995479351405
0.1,2.4782122003125126e-05,0.8999970186885726,0.11,0.010024782122003126,0.8999970186885726,0.08,2.4782122003125126e-05,0.4499985093442863,0.023449784601085058,0.01,0.009888248367533862,0.023449784601085058,0.01,0.007910598694027089,0.023449784601085058,0.11,0.009888248367533862,0.11000001255499546,2.4782122003125126e-05,0.7999992546721432,0.10000001255499547,2.369167493524334e-05,0.8999992546721431,0.20000001255499547,2.4782122003125126e-05,0.8999992546721431
0.1,3.3452043392600525e-05,0.8999950846603183,0.11,0.0100334520433926,0.8999950846603183,0.08,3.3452043392600525e-05,0.44999754233015915,0.045859340719095004,0.01,0.01329662852394575,0.045859340719095004,0.01,0.0106373028191566,0.045859340719095004,0.11,0.01329662852394575,0.11000002069968774,3.3452043392600525e-05,0.7999987711650796,0.10000002069968775,3.188432834572836e-05,0.8999987711650795,0.20000002069968775,3.3452043392600525e-05,0.8999987711650795
0.1,4.515494821538779e-05,0.8999918960072153,0.11,0.010045154948215389,0.8999918960072153,0.08,4.515494821538779e-05,0.44999594800360765,0.08727745695649039,0.01,0.01785627516066976,0.08727745695649039,0.01,0.01428502012853581,0.08727745695649039,0.11,0.01785627516066976,0.11000003412801455,4.515494821538779e-05,0.7999979740018038,0.10000003412801456,4.2909891202240876e-05,0.8999979740018038,0.20000003412801456,4.515494821538779e-05,0.8999979740018038
0.1,6.095173465779321e-05,0.8999866388625215,0.11,0.010060951734657793,0.8999866388625215,0.08,6.095173465779321e-05,0.44999331943126075,0.15825288915313462,0.01,0.023937294219179277,0.15825288915313462,0.01,0.019149835375343423,0.15825288915313462,0.11,0.023937294219179277,0.11000005626758103,6.095173465779321e-05,0.7999966597156304,0.10000005626758103,5.7747835950759727e-05,0.8999966597156304,0.20000005626758105,6.095173465779321e-05,0.8999966597156304
0.1,8.227428646694544e-05,0.8999779714471083,0.11,0.010082274286466946,0.8999779714471083,0.08,8.227428646694544e-05,0.44998898572355417,0.2654497822654671,0.01,0.03201407034537256,0.2654497822654671,0.01,0.025611256276298053,0.2654497822654671,0.11,0.03201407034537256,0.11000009276955092,8.227428646694544e-05,0.7999944928617772,0.10000009276955092,7.77161966891426e-05,0.8999944928617771,0.20000009276955094,8.227428646694544e-05,0.8999944928617771
0.1,0.00011105511838760855,0.899963681705038,0.11,0.01011105511838761,0.899963681705038,0.08,0.00011105511838760855,0.449981840852519,0.4,0.01,0.042683285859810106,0.4,0.01,0.03414662868784809,0.4,0.11,0.042683285859810106,0.11000015295111347,0.00011105511838760855,0.7999909204262595,0.10000015295111347,0.00010458852333737494,0.8999909204262595,0.20000015295111348,0.00011105511838760855,0.8999909204262595
0.1,0.00014990225829960245,0.8999401230179915,0.11,0.010149902258299603,0.8999401230179915,0.08,0.00014990225829960245,0.44997006150899577,0.5345502177345329,0.01,0.05667602045129686,0.5345502177345329,0.01,0.04534081636103749,0.5345502177345329,0.11,0.05667602045129686,0.1100002521737041,0.00014990225829960245,0.7999850307544979,0.1000002521737041,0.00014075117848471257,0.8999850307544979,0.2000002521737041,0.00014990225829960245,0.8999850307544979
0.1,0.00020233509320996578,0.899901284339211,0.11,0.010202335093209966,0.899901284339211,0.08,0.00020233509320996578,0.4499506421696055,0.6417471108468654,0.01,0.07485542684453014,0.6417471108468654,0.01,0.05988434147562412,0.6417471108468654,0.11,0.07485542684453014,0.11000041576401383,0.00020233509320996578,0.7999753210848028,0.10000041576401383,0.0001894148454630563,0.8999753210848028,0.20000041576401384,0.00020233509320996578,0.8999753210848028
0.1,0.00027310232702602725,0.8998372584175559,0.11,0.010273102327026027,0.8998372584175559,0.08,0.00027310232702602725,0.44991862920877795,0.7127225430435097,0.01,0.09818713907605163,0.7127225430435097,0.01,0.07854971126084132,0.7127225430435097,0.11,0.09818713907605163,0.11000068547860344,0.00027310232702602725,0.799959314604389,0.10000068547860344,0.0002548988452726216,0.8999593146043889,0.20000068547860345,0.00027310232702602725,0.8999593146043889
0.1,0.0003686104484874454,0.8997317198956268,0.11,0.010368610448487445,0.8997317198956268,0.08,0.0003686104484874454,0.4498658599478134,0.754140659280905,0.01,0.12766595841043904,0.754140659280905,0.01,0.10213276672835124,0.754140659280905,0.11,0.12766595841043904,0.11000113016214895,0.0003686104484874454,0.7999329299739067,0.10000113016214895,0.0003430131703376903,0.8999329299739067,0.20000113016214896,0.0003686104484874454,0.8999329299739067
0.1,0.0004975007732312396,0.8995577770904611,0.11,0.01049750077323124,0.8995577770904611,0.08,0.0004975007732312396,0.44977888854523057,0.776550215398915,0.01,0.16418297142572072,0.776550215398915,0.01,0.1313463771405766,0.776550215398915,0.11,0.16418297142572072,0.1100018633196421,0.0004975007732312396,0.7998894442726153,0.1000018633196421,0.00046157153783312355,0.8998894442726153,0.2000018633196421,0.0004975007732312396,0.8998894442726153
0.1,0.0006714259504530279,0.8992711590444795,0.11,0.010671425950453029,0.8992711590444795,0.08,0.0006714259504530279,0.44963557952223976,0.7881807746453816,0.01,0.20832769485088415,0.7881807746453816,0.01,0.16666215588070732,0.7881807746453816,0.11,0.20832769485088415,0.1100030720873011,0.0006714259504530279,0.79981778976112,0.10000307208730111,0.0006210798864727218,0.8998177897611199,0.20000307208730111,0.0006714259504530279,0.8998177897611199
0.1,0.000906093738077074,0.8987990541946105,0.11,0.010906093738077074,0.8987990541946105,0.08,0.000906093738077074,0.44939952709730524,0.7940867669245746,0.01,0.2601454476374965,0.7940867669245746,0.01,0.20811635810999718,0.7940867669245746,0.11,0.2601454476374965,0.11000506499549044,0.000906093738077074,0.7996997635486527,0.10000506499549044,0.0008356593889202277,0.8996997635486527,0.20000506499549045,0.000906093738077074,0.8996997635486527
0.1,0.0012226679553860632,0.8980219014746922,0.11,0.011222667955386064,0.8980219014746922,0.08,0.0012226679553860632,0.4490109507373461,0.7970526080804513,0.01,0.3189093243967841,0.7970526080804513,0.01,0.25512745951742727,0.7970526080804513,0.11,0.3189093243967841,0.11000835071092405,0.0012226679553860632,0.7995054753686731,0.10000835071092405,0.0011242821914673965,0.8995054753686731,0.20000835071092404,0.0012226679553860632,0.8995054753686731
0.1,0.0016496450482435248,0.8967438898272831,0.11,0.011649645048243526,0.8967438898272831,0.08,0.0016496450482435248,0.4483719449136416,0.7985336488460058,0.01,0.38300173486950695,0.7985336488460058,0.01,0.30640138789560556,0.7985336488460058,0.11,0.38300173486950695,0.11001376784555729,0.0016496450482435248,0.7991859724568208,0.1000137678455573,0.001512422817628523,0.8991859724568207,0.2000137678455573,0.0016496450482435248,0.8991859724568207
0.1,0.002225360840971297,0.8946457192605721,0.11,0.012225360840971297,0.8946457192605721,0.08,0.002225360840971297,0.44732285963028606,0.7992711590444795,0.01,0.45,0.7992711590444795,0.01,0.36000000000000004,0.7992711590444795,0.11,0.45,0.11002269893435122,0.002225360840971297,0.7986614298151431,0.10002269893435123,0.0020342595935146954,0.8986614298151431,0.20002269893435123,0.002225360840971297,0.8986614298151431
0.1,0.00300132657667201,0.8912104458955254,0.11,0.01300132657667201,0.8912104458955254,0.08,0.00300132657667201,0.4456052229477627,0.7996379022214076,0.01,0.5169982651304932,0.7996379022214076,0.01,0.4135986121043946,0.7996379022214076,0.11,0.5169982651304932,0.1100374231137553,0.00300132657667201,0.7978026114738814,0.10003742311375531,0.002735599423713447,0.8978026114738814,0.20003742311375533,0.00300132657667201,0.8978026114738814
0.1,0.0040466458448470645,0.8856110320303268,0.11,0.014046645844847064,0.8856110320303268,0.08,0.0040466458448470645,0.4428055160151634,0.7998201465838134,0.01,0.5810906756032159,0.7998201465838134,0.01,0.46487254048257276,0.7998201465838134,0.11,0.5810906756032159,0.11006169728799312,0.0040466458448470645,0.7964027580075818,0.10006169728799312,0.0036777457885490664,0.8964027580075817,0.2000616972879931,0.0040466458448470645,0.8964027580075817
0.1,0.005453821342425704,0.876550215398915,0.11,0.015453821342425705,0.876550215398915,0.08,0.005453821342425704,0.4382751076994575,0.7999106773274964,0.01,0.6398545523625035,0.7999106773274964,0.01,0.5118836418900029,0.7999106773274964,0.11,0.6398545523625035,0.1101017134890276,0.005453821342425704,0.7941375538497287,0.1001017134890276,0.004942582018127483,0.8941375538497287,0.2001017134890276,0.005453821342425704,0.8941375538497287
0.1,0.007346314037843907,0.8620593014579466,0.11,0.017346314037843907,0.8620593014579466,0.08,0.007346314037843907,0.4310296507289733,0.7999556411802218,0.010000000000000002,0.6916723051491158,0.7999556411802218,0.010000000000000002,0.5533378441192927,0.7999556411802218,0.11,0.6916723051491158,0.11016767506523324,0.007346314037843907,0.7905148253644867,0.10016767506523325,0.006639193781011363,0.8905148253644867,0.20016767506523325,0.007346314037843907,0.8905148253644867
0.1,0.009888248367533862,0.8393134559830052,0.11,0.01988824836753386,0.8393134559830052,0.08,0.009888248367533862,0.4196567279915026,0.7999779714471082,0.010000000000000316,0.7358170285742747,0.7999779714471082,0.010000000000000316,0.5886536228594198,0.7999779714471082,0.11,0.7358170285742793,0.1102763893184618,0.009888248367533862,0.7848283639957513,0.1002763893184618,0.00891239270821842,0.8848283639957513,0.2002763893184618,0.009888248367533862,0.8848283639957513
0.1,0.01329662852394575,0.8046376623823059,0.11,0.023296628523945748,0.8046376623823059,0.08,0.01329662852394575,0.40231883119115297,0.7999890607927324,0.010000000000069795,0.7723340415891462,0.7999890607927324,0.010000000000069795,0.617867233271317,0.7999890607927324,0.11,0.7723340415895611,0.11045552559720033,0.01329662852394575,0.7761594155955766,0.10045552559720033,0.011953499810839159,0.8761594155955765,0.20045552559720034,0.01329662852394575,0.8761594155955765
0.1,0.01785627516066976,0.7540595809549149,0.11,0.027856275160669762,0.7540595809549149,0.08,0.01785627516066976,0.37702979047745744,0.7999945677130417,0.010000000015452528,0.8018128608866042,0.7999945677130417,0.010000000015452528,0.6414502887092834,0.7999945677130417,0.11,0.8018128609239484,0.11075059112836849,0.01785627516066976,0.7635148952387287,0.1007505911283685,0.01601365216751948,0.8635148952387287,0.20075059112836852,0.01785627516066976,0.8635148952387287
0.1,0.023937294219179277,0.6848468629040039,0.11,0.03393729421917928,0.6848468629040039,0.08,0.023937294219179277,0.34242343145200194,0.7999973023969091,0.010000003420964524,0.8251445697949755,0.7999973023969091,0.010000003420964524,0.6601156558359804,0.7999973023969091,0.11,0.82514457315547,0.11123631157831738,0.023937294219179277,0.746211715726001,0.10123631157831739,0.021419621586607467,0.846211715726001,0.2012363115783174,0.023937294219179277,0.846211715726001
0.1,0.03201407034537256,0.5979674649614837,0.11,0.042014070345372564,0.5979674649614837,0.08,0.03201407034537256,0.29898373248074184,0.7999986604076756,0.010000752332564226,0.8433236823910701,0.7999986604076756,0.010000752332564226,0.6746589459128561,0.7999986604076756,0.11,0.8433239795487032,0.11203506885794806,0.03201407034537256,0.724491866240371,0.10203506885794807,0.028591538678954354,0.824491866240371,0.20203506885794809,0.03201407034537256,0.824491866240371
0.1,0.042683285859810106,0.5,0.11,0.05268328585981011,0.5,0.08,0.042683285859810106,0.25,0.7999993347775778,0.01008383753261662,0.8573030947795793,0.7999993347775778,0.01008383753261662,0.6858424758236635,0.7999993347775778,0.11,0.8573167141401901,0.11334642546214242,0.042683285859810106,0.7000000000000001,0.10334642546214243,0.03806079465783043,0.8,0.20334642546214243,0.042683285859810106,0.8
0.1,0.05667602045129686,0.4020325350385163,0.11,0.06667602045129686,0.4020325350385163,0.08,0.05667602045129686,0.20101626751925816,0.7999996696601832,0.010248426667818859,0.8679418296380988,0.7999996696601832,0.010248426667818859,0.6943534637104791,0.7999996696601832,0.11,0.8679859296546275,0.1154934713152966,0.05667602045129686,0.6755081337596291,0.1054934713152966,0.05048449182744266,0.7755081337596291,0.2054934713152966,0.05667602045129686,0.7755081337596291
0.1,0.07485542684453014,0.3151531370959961,0.11,0.08485542684453014,0.3151531370959961,0.08,0.07485542684453014,0.15757656854799806,0.7999998359580678,0.010372997482858826,0.8759886938634612,0.7999998359580678,0.010372997482858826,0.700790955090769,0.7999998359580678,0.11,0.8760627057808207,0.11899310498104577,0.07485542684453014,0.653788284273999,0.10899310498104578,0.06664991825116588,0.753788284273999,0.20899310498104579,0.07485542684453014,0.753788284273999
0.1,0.09818713907605163,0.245940419045085,0.11,0.10818713907605162,0.245940419045085,0.08,0.09818713907605163,0.1229702095225425,0.7999999185391787,0.010556267846266535,0.8820216694024318,0.7999999185391787,0.010556267846266535,0.7056173355219455,0.7999999185391787,0.11,0.8821437248393303,0.12465611537567815,0.09818713907605163,0.6364851047612713,0.11465611537567816,0.08745870487535454,0.7364851047612713,0.21465611537567816,0.09818713907605163,0.7364851047612713
0.1,0.12766595841043904,0.19536233761769417,0.11,0.13766595841043905,0.19536233761769417,0.08,0.12766595841043904,0.09768116880884709,0.7999999595477513,0.010829400538377689,0.8865021614204176,0.7999999595477513,0.010829400538377689,0.7092017291363342,0.7999999595477513,0.11,0.8867033714760543,0.1337129365887834,0.12766595841043904,0.6238405844044236,0.12371293658878339,0.11387643802531679,0.7238405844044236,0.22371293658878338,0.12766595841043904,0.7238405844044236
0.1,0.16418297142572072,0.16068654401699478,0.11,0.17418297142572073,0.16068654401699478,0.08,0.16418297142572072,0.08034327200849739,0.7999999799120072,0.011236311578300217,0.8897800844509955,0.7999999799120072,0.011236311578300217,0.7118240675607965,0.7999999799120072,0.11,0.8901117516324661,0.1479290900106218,0.16418297142572072,0.6151716360042487,0.13792909001062179,0.1468319059265121,0.7151716360042487,0.2379290900106218,0.16418297142572072,0.7151716360042487
0.1,0.20832769485088415,0.13794069854205326,0.11,0.21832769485088416,0.13794069854205326,0.08,0.20832769485088415,0.06897034927102663,0.799999990024598,0.011842119949717822,0.8921070552455364,0.799999990024598,0.011842119949717822,0.7136856441964291,0.799999990024598,0.11,0.8926536859621561,0.16960146101105877,0.20832769485088415,0.6094851746355133,0.15960146101105877,0.18705523520723194,0.7094851746355133,0.25960146101105874,0.20832769485088415,0.7094851746355133
0.1,0.2601454476374965,0.12344978460108502,0.11,0.2701454476374965,0.12344978460108502,0.08,0.2601454476374965,0.06172489230054251,0.7999999950463619,0.0127431494497252,0.8936454693035327,0.7999999950463619,0.0127431494497252,0.7149163754428263,0.7999999950463619,0.11,0.8945461786575742,0.2012127619031782,0.2601454476374965,0.6058624461502713,0.19121276190317818,0.23486138039924442,0.7058624461502713,0.2912127619031782,0.2601454476374965,0.7058624461502713
0.1,0.3189093243967841,0.11438896796967324,0.11,0.3289093243967841,0.11438896796967324,0.08,0.3189093243967841,0.05719448398483662,0.7999999975400961,0.014081285576579946,0.8944697802611722,0.7999999975400961,0.014081285576579946,0.7155758242089378,0.7999999975400961,0.11,0.895953354155153,0.24447071068499757,0.3189093243967841,0.6035972419924184,0.23447071068499756,0.28991706649775023,0.7035972419924184,0.33447071068499756,0.3189093243967841,0.7035972419924184
